NUMVEN;CLANUM
6695;1
6703;2
6697;3
6705;4
6707;5
6706;6
6654;7
6795;8
6782;9
6779;10
6780;11
6784;12
6783;13
6771;14
6663;15
6661;16
6676;17
6321;18
6585;19
6588;20
6600;21
6599;22
6602;23
6589;24
6590;25
6604;26
6601;27
6603;28
6868;29
6864;30
6865;31
6875;32
6863;33
6571;34
6578;35
6866;36
6869;37
6835;38
6841;39
6537;40
6543;41
6346;42
6341;43
6333;44
6338;45
6776;46
6775;47
6245;48
6770;49
6404;50
6407;51
6399;52
6384;53
6398;54
6402;55
6406;56
6378;57
6400;58
6389;59
6383;60
6381;61
6388;62
6410;63
6397;64
6840;65
6838;66
6861;67
6839;68
6847;69
6375;70
6371;71
6380;72
6403;73
6370;74
6405;75
6358;76
6352;77
6357;78
6538;79
6541;80
6539;81
6536;82
6535;83
6544;84
6392;85
6373;86
6372;87
6401;88
6409;89
6386;90
6396;91
6394;92
6377;93
6408;94
6382;95
6393;96
6379;97
6374;98
6376;99
6698;100
6778;1
6777;2
6774;3
6786;4
6768;5
6785;6
6652;7
6651;8
6664;9
6773;10
6650;11
6653;12
6787;13
6781;14
6769;15
6793;16
6794;17
6797;18
6801;19
6804;20
6805;21
6790;22
6800;23
6827;24
6806;25
6796;26
6803;27
6789;28
6802;29
6792;30
6767;31
6799;32
6798;33
6656;34
6791;35
6815;36
6807;37
6831;38
6826;39
6830;40
6823;41
6817;42
6824;43
6816;44
6814;45
6441;46
6472;47
6457;48
6465;49
6442;50
6414;51
6421;52
6473;53
6447;54
6429;55
6424;56
6436;57
6462;58
6455;59
6463;60
6446;61
6452;62
6454;63
6435;64
6461;65
6433;66
6431;67
6418;68
6459;69
6439;70
6438;71
6432;72
6437;73
6416;74
6458;75
6456;76
6448;77
6440;78
6419;79
6430;80
6415;81
6427;82
6428;83
6417;84
6443;85
6434;86
6470;87
6460;88
6444;89
6423;90
6445;91
6425;92
6453;93
6467;94
6426;95
6469;96
6449;97
6474;98
6468;99
6464;100
6480;1
6482;2
6484;3
6496;4
6885;5
6495;6
6883;7
6493;8
6491;9
6502;10
6930;11
6490;12
6488;13
6886;14
6483;15
6489;16
6492;17
6880;18
6500;19
6497;20
6878;21
6503;22
6475;23
6882;24
6877;25
6879;26
6504;27
6479;28
6498;29
6487;30
6485;31
6884;32
6476;33
6481;34
6486;35
6501;36
6494;37
6499;38
6517;39
6511;40
6505;41
6512;42
6514;43
6567;44
6565;45
6557;46
6562;47
6564;48
6569;49
6594;50
6616;51
6624;52
6628;53
6595;54
6597;55
6611;56
6625;57
6612;58
6598;59
6629;60
6843;61
6596;62
6622;63
6515;64
6610;65
6620;66
6626;67
6623;68
6621;69
6607;70
6608;71
6613;72
6606;73
6619;74
6617;75
6627;76
6609;77
6605;78
6519;79
6510;80
6518;81
6513;82
6507;83
6506;84
6530;85
6523;86
6520;87
6528;88
6521;89
6531;90
6525;91
6524;92
6533;93
6549;94
6548;95
6545;96
6551;97
6552;98
6828;99
6477;100
8203;1
8186;2
8205;3
8197;4
8196;5
8201;6
8183;7
8192;8
8202;9
8188;10
8189;11
8193;12
8206;13
8204;14
8187;15
8199;16
8190;17
8194;18
4807;19
4804;20
7234;21
7232;22
7231;23
4806;24
4811;25
4802;26
4803;27
4809;28
4810;29
4805;30
7233;31
7209;32
7083;33
7081;34
7057;35
7058;36
7085;37
7025;38
7023;39
7022;40
7029;41
7002;42
3446;43
3468;44
3516;45
3459;46
3495;47
3482;48
3493;49
3445;50
3487;51
3483;52
3447;53
3443;54
3444;55
3535;56
3503;57
3494;58
3543;59
3448;60
3502;61
3512;62
6110;63
6125;64
5980;65
5922;66
5983;67
5927;68
5928;69
5921;70
6007;71
5924;72
5923;73
6219;74
6310;75
6318;76
6319;77
6314;78
6367;79
6366;80
6312;81
6368;82
6669;83
6670;84
6671;85
6674;86
6675;87
6679;88
6665;89
6667;90
6666;91
6678;92
6677;93
6672;94
6668;95
6673;96
6693;97
6687;98
6681;99
6680;100
8281;1
8263;2
8261;3
8529;4
8390;5
8291;6
8296;7
8303;8
8299;9
8463;10
8298;11
8393;12
8389;13
8391;14
8498;15
8464;16
8143;17
8500;18
8300;19
8142;20
8392;21
8292;22
8293;23
8294;24
8290;25
8297;26
8462;27
8257;28
8141;29
8302;30
8499;31
8256;32
8306;33
8308;34
8305;35
8217;36
8213;37
8284;38
8493;39
8491;40
8492;41
8216;42
8177;43
8164;44
8169;45
8151;46
8157;47
8158;48
8145;49
8146;50
8153;51
8159;52
8150;53
8165;54
8181;55
8182;56
8148;57
8179;58
8156;59
8147;60
8176;61
8144;62
8170;63
8168;64
8160;65
8149;66
8173;67
8171;68
8315;69
8249;70
8250;71
8231;72
8220;73
8223;74
8242;75
8241;76
8234;77
8248;78
8239;79
8244;80
8246;81
8233;82
8237;83
8229;84
8247;85
8235;86
8232;87
8227;88
8243;89
8218;90
8272;91
8488;92
8271;93
8490;94
8487;95
8486;96
8278;97
8266;98
8133;99
8132;100
5728;1
5654;2
5726;3
5691;4
5681;5
5729;6
5695;7
5694;8
5698;9
5673;10
5674;11
5699;12
5659;13
5667;14
5672;15
5675;16
5689;17
5690;18
5688;19
5696;20
5683;21
5653;22
5693;23
5686;24
5664;25
5666;26
5685;27
5687;28
5697;29
5652;30
5723;31
5751;32
5657;33
5655;34
5679;35
5651;36
5700;37
5727;38
5671;39
5662;40
5677;41
5676;42
5724;43
5661;44
5660;45
5668;46
5722;47
5721;48
5730;49
5680;50
5738;51
5732;52
5843;53
5836;54
5816;55
