NUMVEN;CLANUM
5470;1
7605;2
7607;3
7614;4
8598;5
8287;6
8282;7
8284;8
8283;9
8280;10
8600;11
8290;12
7627;13
7626;14
7616;15
7625;16
7601;17
7629;18
7613;19
8251;20
8260;21
6351;22
6357;23
6361;24
6364;25
6366;26
6368;27
7682;28
7683;29
7684;30
7685;31
7686;32
7687;33
7688;34
7690;35
7691;36
7692;37
7693;38
7695;39
7698;40
6370;41
7702;42
7703;43
7704;44
7706;45
7708;46
7709;47
7710;48
7712;49
7715;50
7716;51
7717;52
5971;53
5975;54
5982;55
7711;56
5984;57
5986;58
5987;59
5990;60
7633;61
7640;62
7674;63
5852;64
7638;65
5862;66
5861;67
7678;68
7673;69
7676;70
7637;71
7675;72
7634;73
7672;74
7636;75
7680;76
7677;77
7441;78
5288;79
8226;80
6503;81
8229;82
6507;83
6509;84
8224;85
6510;86
6508;87
8722;88
6000;89
8230;90
8225;91
6506;92
5308;93
5466;94
5452;95
5425;96
5423;97
5889;98
5434;99
5900;100
7065;1
7164;2
6851;3
6955;4
6987;5
6957;6
7026;7
7091;8
7023;9
7067;10
7007;11
7071;12
7076;13
7072;14
7078;15
7032;16
7074;17
6855;18
6860;19
6879;20
6874;21
7085;22
7049;23
7095;24
7016;25
7093;26
7039;27
7014;28
7053;29
7042;30
7033;31
7106;32
7068;33
7058;34
7163;35
7158;36
6905;37
6983;38
6931;39
6985;40
6989;41
6970;42
6949;43
6952;44
6909;45
6881;46
7121;47
7122;48
7094;49
6980;50
6969;51
6999;52
6948;53
6993;54
6917;55
7155;56
6921;57
6924;58
6904;59
6950;60
6906;61
6926;62
6997;63
6996;64
6995;65
6994;66
7097;67
7082;68
7052;69
7057;70
7060;71
7063;72
7028;73
7075;74
7064;75
6971;76
6919;77
6920;78
6911;79
6941;80
6954;81
6925;82
6956;83
6975;84
6900;85
6868;86
6857;87
6898;88
6859;89
6867;90
6858;91
7103;92
7114;93
7138;94
7119;95
6984;96
7133;97
7111;98
7152;99
7146;100
8591;1
5875;2
5877;3
5871;4
5874;5
5876;6
5872;7
5321;8
5322;9
5323;10
5324;11
5325;12
5326;13
5346;14
5327;15
5328;16
5329;17
530;18
5331;19
5330;20
5332;21
5333;22
5334;23
5335;24
5336;25
5337;26
5338;27
5339;28
5340;29
5341;30
5342;31
5343;32
5344;33
5345;34
5347;35
5348;36
5349;37
5350;38
5351;39
5356;40
5358;41
5650;42
5647;43
5642;44
5648;45
5634;46
5635;47
5646;48
5641;49
5644;50
5643;51
5638;52
5645;53
5303;54
5306;55
5310;56
5307;57
5301;58
5304;59
5309;60
5302;61
5305;62
5991;63
5997;64
5992;65
5993;66
5998;67
5995;68
5292;69
5373;70
5371;71
5372;72
5295;73
5293;74
5378;75
5299;76
8471;77
8478;78
8475;79
8472;80
8476;81
8477;82
8479;83
8473;84
8474;85
8480;86
5364;87
5363;88
5370;89
5362;90
5361;91
5366;92
5367;93
6586;94
6585;95
5049;96
5032;97
5033;98
5043;99
5092;100
7549;1
7536;2
7569;3
7543;4
7538;5
7532;6
7539;7
7533;8
7544;9
7570;10
7599;11
7567;12
7564;13
7583;14
7540;15
7534;16
7592;17
7596;18
7562;19
7597;20
7563;21
7591;22
7550;23
7545;24
7594;25
7535;26
7561;27
7573;28
7576;29
7574;30
7537;31
7551;32
5932;33
5933;34
5934;35
5935;36
5936;37
5937;38
5938;39
5939;40
5940;41
5950;42
5731;43
5732;44
5733;45
5734;46
